detector,descriptor,frame,lidar_ttc,image_ttc,lidar_distance
SIFT,AKAZE,0,NaN,NaN,7.98172
SIFT,AKAZE,1,13.7365,11.9768,7.92404
SIFT,AKAZE,2,11.5888,11.0469,7.85625
SIFT,AKAZE,3,18.3729,11.8235,7.81372
SIFT,AKAZE,4,12.4296,16.561,7.75136
SIFT,AKAZE,5,13.4841,13.4659,7.69429
SIFT,AKAZE,6,7.04164,11.9077,7.58655
SIFT,AKAZE,7,51.4338,14.2696,7.57183
SIFT,AKAZE,8,22.9753,13.607,7.53902
SIFT,AKAZE,9,12.1889,12.8458,7.47767
SIFT,AKAZE,10,15.3122,11.0814,7.42915
SIFT,AKAZE,11,9.91929,12.6706,7.35501
SIFT,AKAZE,12,10.4633,11.3877,7.28538
SIFT,AKAZE,13,9.16567,11.2161,7.20675
SIFT,AKAZE,14,11.6992,8.83254,7.14567
SIFT,AKAZE,15,7.88476,10.9948,7.05618
SIFT,AKAZE,16,9.37072,9.31141,6.98167
SIFT,AKAZE,17,9.33367,8.62812,6.90767
SIFT,AKAZE,18,9.21515,8.50607,6.83351
